"id","menu_name","parent_id","menu_level","menu_style","menu_url","create_user","create_date","update_user","update_date","status","menu_position"
"1","基础模块","0","1","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","010000"
"2","本地化","1","2","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","010100"
"3","基础设计","1","2","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","010200"
"4","参数管理","2","3","1","/base/param","API","2016/1/3 04:18:22","",null,"1","010101"
"5","国家管理","2","3","1","/base/country","API","2016/1/3 04:18:22","",null,"1","010102"
"6","站点管理","2","3","1","/base/site","API","2016/1/3 04:18:22","",null,"1","010103"
"7","平台管理","2","3","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","010104"
"8","客户端管理","2","3","1","/base/client","API","2016/1/3 04:18:22","",null,"1","010105"
"9","语言管理","2","3","1","/base/language","API","2016/1/3 04:18:22","",null,"1","010106"
"10","汇率管理","2","3","1","/base/currency","API","2016/1/3 04:18:22","",null,"1","010107"
"11","资源信息管理","2","3","1","/base/resource","API","2016/1/3 04:18:22","",null,"1","010108"
"12","配置","2","3","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","010109"
"13","页面布局管理","3","3","1","/base/layout","API","2016/1/3 04:18:22","",null,"1","010201"
"14","布局模块管理","3","3","1","/base/layoutModule","API","2016/1/3 04:18:22","",null,"1","010202"
"15","模块内容管理","3","3","1","/base/modulContent","API","2016/1/3 04:18:22","",null,"1","010203"
"16","广告组管理","3","3","1","/base/banner","API","2016/1/3 04:18:22","",null,"1","010204"
"17","广告内容管理","3","3","1","/base/bannerContent","API","2016/1/3 04:18:22","",null,"1","010205"
"18","首页设置","0","1","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","020000"
"19","搜索功能","18","2","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","020100"
"20","热门搜索管理","19","3","1","/homepage/hotsearch","API","2016/1/3 04:18:22","",null,"1","020101"
"21","自动补全管理","19","3","1","/homepage/searchcomplete","API","2016/1/3 04:18:22","",null,"1","020102"
"22","商品促销","18","2","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","020200"
"23","Daily Deal","22","3","1","/homepage/dailydeal","API","2016/1/3 04:18:22","",null,"1","020201"
"24","品牌信息管理","18","2","1","/homepage/brand","API","2016/1/3 04:18:22","",null,"1","020300"
"25","特色类目","18","2","1","/homepage/featurecategory","API","2016/1/3 04:18:22","",null,"1","020400"
"26","最近卖出品管理","18","2","1","/homepage/recent","API","2016/1/3 04:18:22","",null,"1","020500"
"27","Customer Voice","18","2","1","javascript:;","API","2016/1/3 04:18:22","",null,"1","020600"
"28","最新评论","27","3","1","/homepage/newestreview","API","2016/1/3 04:18:22","",null,"1","020601"
"29","最新晒图","27","3","1","/homepage/newestimg","API","2016/1/3 04:18:22","",null,"1","020602"
"30","最新视频","27","3","1","/homepage/newestVideo","API","2016/1/3 04:18:22","",null,"1","020603"
