"id","menu_name","parent_id","menu_level","menu_style","menu_url","create_user","create_date","update_user","update_date","status","menu_position"
"35","系统管理","0","1","1","javascript:;","API","2016/3/8 08:18:22","",null,"1","040000"
"36","物流运费管理","35","2","1","javascript:;","API","2016/3/8 08:18:22","",null,"1","040100"
"37","物流类型管理","36","3","1","/shipping/type","API","2016/3/8 08:18:22","",null,"1","040101"
"38","物流模板定义","36","3","1","/shipping/template","API","2016/3/8 08:18:22","",null,"1","040102"
"39","物流模板配置","36","3","1","/shipping/templateConfig","API","2016/3/8 08:18:22","",null,"1","040103"
"40","运费计算","36","3","1","/shipping/freightCharge","API","2016/3/8 08:18:22","",null,"1","040104"
"41","市场营销","0","1","1","javascript:;","API","2016/3/8 08:18:22","",null,"1","050000"
"42","Datafeed","41","2","1","javascript:;","API","2016/3/8 08:18:22","",null,"1","050100"
"43","Datafeed导出管理","42","3","1","/market/datafeed","API","2016/3/8 08:18:22","",null,"1","050101"
"44","CMS","1","2","1","javascript:;","API","2016/3/8 08:18:22","",null,"1","010300"
"45","内容管理","44","3","1","/base/cms/content","API","2016/3/8 08:18:22","",null,"1","010301"
